id_szkoly,nazwa_szkoly,adres,miejscowosc,kod_pocztowy,dzielnica
25430,Liceum Ogólnokształcące nr 50 Stowarzyszenia Kultury i Edukacji,"Foksal 11, IV piętro",Warszawa,00-372,Śródmieście
25428,Liceum Ogólnokształcące dla Dorosłych PROGRES w Warszawie,Smolna 13,Warszawa,00-375,Śródmieście
25427,Liceum Ogólnokształcące BUSINESS SCHOOL dla Dorosłych,Bagatela 13,Warszawa,00-585,Śródmieście
25426,Prywatne Liceum Ogólnokształcące dla Dorosłych im. Marka Twaina,Niska 5,Warszawa,00-179,Śródmieście
25421,XVIII Liceum Ogólnokształcące im. Jana Zamoyskiego,Smolna 30,Warszawa,00-375,Śródmieście
25420,IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej w Warszawie,Emilii Plater 29,Warszawa,00-688,Śródmieście
25419,LXXXIII Liceum Ogólnokształcące im. Emiliana Konopczyńskiego,Konopczyńskiego 4,Warszawa,00-335,Śródmieście
25418,XXXVII Liceum Ogólnokształcące,Świętokrzyska 1,Warszawa,00-360,Śródmieście
25415,LXII Liceum Ogólnokształcące Mistrzostwa Sportowego w Zespole Szkół Sportowych nr 72,Konwiktorska 5/7,Warszawa,00-216,Śródmieście
25414,LIII Liceum Ogólnokształcące dla Dorosłych przy Centrum Kształcenia Ustawicznego nr 1 w Warszawie,Noakowskiego 6,Warszawa,00-666,Śródmieście
25413,XI Liceum Ogólnokształcące im. Mikołaja Reja,Królewska 19/21,Warszawa,00-063,Śródmieście
25412,LXXXI Liceum Ogólnokształcące,Miła 7,Warszawa,00-180,Śródmieście
25411,Liceum Ogólnokształcące Niepubliczne nr 30,Podwale 13,Warszawa,00-252,Śródmieście
25410,2 Społeczne Liceum Ogólnokształcące STO im. Pawła Jasienicy,Nowowiejska 5,Warszawa,00-643,Śródmieście
25409,XV Liceum Ogólnokształcące im. Narcyzy Żmichowskiej,Klonowa 16,Warszawa,00-591,Śródmieście
25408,Społeczne Liceum Ogólnokształcące nr 25 im. Marzenny Okońskiej,Aleja Solidarności 101 D,Warszawa,00-144,Śródmieście
25406,LXXV Liceum Ogólnokształcące im. Jana III Sobieskiego w Warszawie,Czerniakowska 128,Warszawa,00-454,Śródmieście
